"CROSSTAB TITLE : MRI-Simmons_Crosstab"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 04/02/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",32,*,6,**,26,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",157,*,19,**,139,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.1%,*,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,*,12.1%,**,88.5%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,*,44,**,124,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",2,**,0,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",5,**,0,**,5,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",2,**,1,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",1,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",4,**,1,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",22,**,0,**,22,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",1,**,1,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",7,**,7,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,100%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,361,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",1,**,1,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",7,**,7,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,100%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,361,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",4,**,1,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",82,**,31,**,51,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,37.8%,**,62.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,137,**,87,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",2,**,0,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",14,**,0,**,14,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",4,**,1,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",12,**,8,**,4,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,66.7%,**,33.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,241,**,47,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",4,**,2,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",34,**,18,**,16,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
